EmbeddingSimilarity,nll-test,Bleu-2,Bleu-3,Bleu-4,Bleu-5,
1,-0.7542610473017161,2.503795,0.7604859902037043,0.4672404540157538,0.2348595373247877,0.11838699784961584,
21,-0.7418832977601787,2.392959,0.769915472403372,0.47789766035379116,0.2398542168781946,0.12091333862320258,
41,-0.7445924213646791,2.3837142,0.7705984399578161,0.47886832719875116,0.24242309483805263,0.12291976769601551,
61,-0.7424767369453767,2.380987,0.7722897382938072,0.4802489077138024,0.24358165501307752,0.12444943985371723,
80,-0.7447331997783343,2.3795762,0.7712034077777483,0.4801260364773306,0.24277505185404782,0.12327520420864786,
